lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	760.0	434.0	2071.0	1593.0	413.0	2643.0	3205.0	2836.0	795.0	5155.0	2421.0	2923.0	1876.0	2869.0	653.0	1672.0	1706.0	700.0	1625.0	1186.0	3957.0	1127.0	4358.0	3484.0	518.0	6008.0	7819.0	5165.0	3643.0	4130.0	426.0	709.0	470.0	2337.0	81583.5	1564505.0	1381338.856958
sub-season102	1030.0	772.0	2573.0	1641.0	427.0	3378.0	4831.0	3529.0	1148.0	5557.0	2938.0	3141.0	2151.0	3516.0	669.0	1554.0	2231.0	891.0	1820.0	1573.0	4127.0	1277.0	5208.0	4378.0	770.0	6455.0	7517.0	6087.0	4560.0	4259.0	296.0	564.0	606.0	2474.0	93942.5	2019594.0	1844670.123623
sub-season103	1010.0	517.0	2180.0	996.0	405.0	2391.0	3914.0	2584.0	1001.0	4183.0	2068.0	2737.0	1634.0	2634.0	534.0	1216.0	1627.0	621.0	1269.0	844.0	3691.0	1021.0	5050.0	3034.0	634.0	5225.0	7055.0	5018.0	3552.0	4389.0	279.0	543.0	423.0	2223.0	76478.9	1610298.0	1456061.200256
sub-season104	967.0	602.0	1816.0	1587.0	471.0	3125.0	4548.0	3272.0	739.0	5296.0	2455.0	2877.0	1703.0	3158.0	644.0	1141.0	1557.0	761.0	1150.0	1126.0	3583.0	983.0	4401.0	3773.0	613.0	6129.0	6961.0	6025.0	3858.0	3384.0	302.0	534.0	502.0	2514.0	82514.5	1759065.0	1579786.950392
sub-season105	1126.0	427.0	1597.0	1293.0	526.0	2970.0	4142.0	3507.0	859.0	4018.0	2177.0	2838.0	1477.0	2912.0	608.0	1304.0	1360.0	722.0	1383.0	1213.0	3625.0	860.0	4687.0	3896.0	426.0	5528.0	7478.0	6736.0	4214.0	5353.0	336.0	426.0	575.0	2492.0	83083.1	1659168.0	1562659.338937
sub-season106	971.0	650.0	2526.0	1222.0	456.0	3339.0	4652.0	2845.0	809.0	4782.0	2693.0	2798.0	1880.0	3062.0	631.0	1517.0	1685.0	682.0	1250.0	1077.0	4078.0	1326.0	4323.0	3435.0	659.0	5608.0	6750.0	5613.0	3673.0	3277.0	256.0	562.0	460.0	2001.0	81535.5	1628347.0	1491867.942883
sub-season107	1345.0	666.0	1852.0	1427.0	536.0	2722.0	4940.0	2890.0	1059.0	4744.0	2662.0	2778.0	1841.0	2999.0	633.0	1479.0	1435.0	699.0	1259.0	1350.0	4134.0	1278.0	4601.0	3512.0	916.0	5996.0	8012.0	4519.0	3849.0	3763.0	291.0	474.0	421.0	2731.0	83796.4	1782750.0	1531825.373854
sub-season108	798.0	454.0	2515.0	1327.0	490.0	2512.0	4183.0	3159.0	940.0	4992.0	2574.0	3212.0	1984.0	3041.0	575.0	1373.0	1387.0	613.0	1220.0	1371.0	3728.0	993.0	4369.0	3107.0	577.0	5717.0	7683.0	4796.0	3336.0	2939.0	438.0	657.0	550.0	2298.0	79718.5	1592943.0	1440808.605024
sub-season109	1102.0	765.0	2844.0	1613.0	383.0	3409.0	5534.0	4285.0	1192.0	6408.0	2809.0	3397.0	2111.0	4174.0	690.0	1210.0	1939.0	845.0	1512.0	1587.0	4440.0	1492.0	5637.0	4154.0	757.0	6306.0	7853.0	5278.0	4575.0	4521.0	324.0	504.0	530.0	2534.0	96708.9	2127492.0	1955159.142595
sub-season110	1352.0	517.0	2433.0	1432.0	398.0	2840.0	4439.0	3074.0	995.0	4667.0	2277.0	3264.0	1844.0	3056.0	619.0	1315.0	1495.0	680.0	1124.0	1608.0	3773.0	1084.0	4456.0	4791.0	775.0	5905.0	7255.0	6240.0	3719.0	3999.0	311.0	556.0	493.0	2040.0	84808.7	1732844.0	1526380.723924
sub-season111	1135.0	624.0	2370.0	1547.0	711.0	3372.0	4459.0	3480.0	1067.0	5000.0	2583.0	3079.0	1573.0	3442.0	784.0	1525.0	1557.0	711.0	1280.0	1787.0	5070.0	1192.0	5453.0	4193.0	680.0	5711.0	8037.0	5296.0	3987.0	4474.0	356.0	554.0	560.0	2898.0	90545.5	1899669.0	1839944.701833
sub-season112	1005.0	548.0	2778.0	1877.0	618.0	3513.0	4996.0	4362.0	1145.0	5684.0	3126.0	3568.0	2114.0	3834.0	730.0	1381.0	2198.0	697.0	1340.0	1516.0	5222.0	1055.0	6544.0	4493.0	930.0	6836.0	8783.0	6877.0	4854.0	4587.0	342.0	692.0	550.0	2566.0	101355.0	1991731.0	1866319.603862
sub-season114	1074.0	364.0	1655.0	1265.0	417.0	2762.0	3995.0	2753.0	842.0	4414.0	1950.0	2456.0	1507.0	2747.0	463.0	1309.0	1230.0	615.0	1095.0	893.0	3619.0	955.0	4518.0	3535.0	288.0	4477.0	7771.0	4997.0	3394.0	3597.0	482.0	670.0	513.0	2127.0	74747.0	1594501.0	1463036.570722
sub-season116	1102.0	595.0	2576.0	1534.0	387.0	3533.0	4100.0	3343.0	963.0	4841.0	2442.0	3124.0	1598.0	3697.0	623.0	1322.0	1657.0	723.0	1424.0	1567.0	4191.0	1264.0	4735.0	3922.0	711.0	6152.0	8255.0	5465.0	4422.0	4695.0	263.0	477.0	533.0	2677.0	88908.5	1853772.0	1647607.876188
sub-season117	960.0	708.0	2166.0	1301.0	673.0	2944.0	4399.0	4864.0	841.0	5517.0	2669.0	2906.0	2092.0	3470.0	745.0	1725.0	1461.0	783.0	1471.0	1015.0	3924.0	1518.0	5502.0	4377.0	970.0	6805.0	8675.0	5940.0	3962.0	3865.0	321.0	731.0	516.0	2314.0	92127.8	2020812.0	1881811.932601
sub-season119	983.0	529.0	1808.0	1429.0	552.0	3194.0	5283.0	3541.0	872.0	5409.0	2453.0	2343.0	1924.0	3225.0	608.0	1317.0	1418.0	614.0	1124.0	1281.0	3473.0	1045.0	4158.0	3896.0	648.0	4957.0	7386.0	5026.0	3567.0	3738.0	360.0	671.0	424.0	2440.0	81685.7	1670736.0	1562273.317563
sub-season120	939.0	522.0	2266.0	1474.0	295.0	2926.0	4221.0	3695.0	946.0	5603.0	2838.0	2475.0	1947.0	3344.0	604.0	1353.0	1554.0	829.0	1676.0	907.0	3902.0	875.0	4817.0	3637.0	797.0	6290.0	9282.0	5429.0	3823.0	3983.0	379.0	482.0	516.0	2482.0	87103.0	1868388.0	1666242.769937
sub-season121	1298.0	832.0	2233.0	1876.0	490.0	3395.0	6199.0	4248.0	1561.0	6407.0	2842.0	3677.0	1938.0	3214.0	690.0	1327.0	1644.0	850.0	1438.0	1765.0	5304.0	1308.0	6242.0	4574.0	897.0	6106.0	8546.0	6571.0	3865.0	4239.0	318.0	565.0	472.0	2730.0	99661.8	2013998.0	1888531.516722
sub-season122	1070.0	593.0	2306.0	1369.0	425.0	2631.0	4310.0	4270.0	1121.0	4903.0	2965.0	3000.0	1896.0	3458.0	689.0	1530.0	1819.0	645.0	1571.0	1281.0	4270.0	1425.0	4486.0	4685.0	969.0	6629.0	8791.0	6276.0	3983.0	4517.0	315.0	549.0	498.0	2524.0	91759.5	1875626.0	1800090.211769
