rh.aparc.a2009s.volume	rh_G&S_frontomargin_volume	rh_G&S_occipital_inf_volume	rh_G&S_paracentral_volume	rh_G&S_subcentral_volume	rh_G&S_transv_frontopol_volume	rh_G&S_cingul-Ant_volume	rh_G&S_cingul-Mid-Ant_volume	rh_G&S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg&S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet&P_trans_volume	rh_S_oc_middle&Lunatus_volume	rh_S_oc_sup&transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med&Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-season101	1889.0	2341.0	2905.0	3457.0	2754.0	5143.0	2747.0	2731.0	1142.0	742.0	2879.0	3430.0	1229.0	2121.0	11026.0	15771.0	1199.0	2036.0	4304.0	2795.0	4998.0	4205.0	3269.0	7827.0	5950.0	6197.0	4939.0	4164.0	5576.0	6274.0	2109.0	459.0	969.0	4336.0	2176.0	1933.0	5727.0	7245.0	598.0	430.0	2328.0	4578.0	6386.0	3112.0	3538.0	1971.0	1031.0	1586.0	2251.0	1411.0	353.0	3109.0	2905.0	4627.0	688.0	3297.0	992.0	1189.0	754.0	1501.0	3071.0	541.0	809.0	1776.0	2596.0	941.0	4008.0	2542.0	1566.0	267.0	1560.0	1679.0	8513.0	516.0	1564505.0	1381338.856958
sub-season102	2055.0	2224.0	3401.0	3652.0	2851.0	6811.0	3026.0	3065.0	2199.0	751.0	3846.0	4601.0	1495.0	3372.0	12972.0	21600.0	1519.0	2765.0	6395.0	4429.0	6582.0	5993.0	4268.0	8865.0	9915.0	7820.0	6749.0	3450.0	7467.0	7587.0	2318.0	1110.0	1287.0	6801.0	2169.0	1851.0	7811.0	10347.0	584.0	475.0	2402.0	5887.0	6221.0	3508.0	3694.0	2498.0	1060.0	1729.0	2462.0	2296.0	462.0	3914.0	4158.0	6270.0	778.0	5740.0	1292.0	2418.0	934.0	2066.0	3229.0	753.0	1020.0	3170.0	3698.0	1218.0	2574.0	3415.0	2179.0	533.0	2475.0	2075.0	11814.0	519.0	2019594.0	1844670.123623
sub-season103	2100.0	3572.0	2212.0	3080.0	2687.0	5547.0	3088.0	2657.0	1618.0	768.0	2239.0	3833.0	1236.0	2700.0	10303.0	20475.0	1376.0	1878.0	4441.0	2469.0	4487.0	3741.0	3296.0	7293.0	7606.0	5466.0	6001.0	2939.0	7610.0	5211.0	1796.0	481.0	951.0	4467.0	2079.0	1496.0	6244.0	7329.0	618.0	495.0	2115.0	4649.0	5461.0	1943.0	3549.0	1394.0	889.0	1713.0	2121.0	1756.0	587.0	2764.0	2969.0	4766.0	481.0	4071.0	711.0	1880.0	919.0	1322.0	2478.0	581.0	606.0	2721.0	2563.0	986.0	2641.0	3578.0	2275.0	405.0	2131.0	1733.0	9379.0	441.0	1610298.0	1456061.200256
sub-season104	1966.0	4038.0	2611.0	3450.0	2982.0	6636.0	3209.0	2597.0	1339.0	613.0	4369.0	3421.0	1126.0	2191.0	12305.0	19267.0	1896.0	2255.0	6820.0	3164.0	4752.0	5942.0	4435.0	8230.0	8590.0	6937.0	6354.0	3787.0	6855.0	6252.0	2185.0	768.0	1049.0	6416.0	2244.0	1649.0	6560.0	10417.0	628.0	407.0	2005.0	5951.0	6381.0	2704.0	3404.0	1812.0	855.0	1988.0	2402.0	2087.0	643.0	3187.0	2666.0	3538.0	873.0	4853.0	1093.0	2019.0	1171.0	1356.0	3210.0	632.0	973.0	2775.0	3595.0	1221.0	3036.0	2405.0	2374.0	659.0	1754.0	2047.0	11089.0	351.0	1759065.0	1579786.950392
sub-season105	1852.0	2693.0	2895.0	3494.0	2375.0	5640.0	3523.0	2947.0	1273.0	689.0	2873.0	4465.0	1378.0	1710.0	9596.0	19525.0	1548.0	2184.0	4886.0	2603.0	5770.0	5654.0	3278.0	6323.0	8327.0	8992.0	5828.0	3241.0	6460.0	6338.0	1989.0	722.0	1453.0	6501.0	2547.0	2457.0	6361.0	7867.0	463.0	350.0	2656.0	5403.0	6637.0	2946.0	3098.0	2526.0	803.0	1978.0	2496.0	1360.0	525.0	2591.0	3485.0	4437.0	1104.0	5839.0	781.0	2134.0	968.0	1760.0	3693.0	454.0	877.0	2109.0	3007.0	898.0	3343.0	3158.0	1855.0	474.0	2153.0	1880.0	11657.0	610.0	1659168.0	1562659.338937
sub-season106	1648.0	2173.0	3037.0	3398.0	2483.0	6325.0	3323.0	3092.0	2108.0	856.0	2933.0	4072.0	785.0	2972.0	11472.0	17796.0	1225.0	2172.0	3917.0	2512.0	4952.0	4931.0	4221.0	7222.0	8414.0	6324.0	5886.0	3616.0	6367.0	5759.0	1967.0	757.0	1103.0	4271.0	2442.0	1695.0	6644.0	8094.0	598.0	607.0	2363.0	4612.0	6074.0	2367.0	3151.0	1540.0	919.0	1767.0	2346.0	2188.0	609.0	2782.0	3387.0	3542.0	321.0	5278.0	730.0	1462.0	1299.0	1441.0	2653.0	531.0	872.0	2669.0	2714.0	1520.0	3584.0	2044.0	2926.0	414.0	2500.0	1821.0	10352.0	404.0	1628347.0	1491867.942883
sub-season107	2521.0	2081.0	2640.0	3596.0	3399.0	6928.0	3368.0	2972.0	1807.0	743.0	2786.0	4048.0	1454.0	2531.0	11726.0	20737.0	1745.0	2698.0	5374.0	2179.0	4938.0	4937.0	4707.0	7846.0	8263.0	6935.0	5316.0	3647.0	6280.0	5607.0	2047.0	817.0	1045.0	5511.0	2201.0	1848.0	7339.0	8751.0	607.0	362.0	1986.0	4548.0	5623.0	2540.0	3690.0	2295.0	1017.0	2325.0	2849.0	2083.0	634.0	2769.0	2907.0	4680.0	720.0	4370.0	1272.0	1970.0	1062.0	2028.0	3323.0	648.0	954.0	2639.0	3105.0	1177.0	3523.0	2258.0	2153.0	499.0	1878.0	2073.0	11145.0	437.0	1782750.0	1531825.373854
sub-season108	2545.0	2411.0	2432.0	2975.0	3696.0	5946.0	2657.0	2471.0	1591.0	745.0	2549.0	3520.0	1091.0	1999.0	9435.0	20450.0	1384.0	2571.0	5548.0	2041.0	4495.0	4636.0	3246.0	7406.0	7708.0	5153.0	5169.0	2988.0	6377.0	5339.0	2172.0	206.0	974.0	4835.0	2321.0	1561.0	5266.0	8601.0	741.0	339.0	2063.0	4824.0	7063.0	2768.0	3448.0	1658.0	1006.0	2147.0	1832.0	1562.0	783.0	2770.0	3428.0	4237.0	292.0	5024.0	966.0	1492.0	938.0	1302.0	2465.0	479.0	964.0	2381.0	2817.0	972.0	2347.0	2873.0	1474.0	633.0	1763.0	2105.0	10503.0	392.0	1592943.0	1440808.605024
sub-season109	2395.0	3103.0	3335.0	3446.0	3214.0	8237.0	3309.0	3186.0	2474.0	1294.0	4138.0	5884.0	1246.0	3597.0	15966.0	21454.0	1902.0	3375.0	7751.0	3705.0	6033.0	5977.0	3938.0	9700.0	13720.0	7029.0	5878.0	5171.0	8324.0	7593.0	2420.0	1286.0	1167.0	6937.0	2633.0	2035.0	10789.0	13783.0	983.0	755.0	2205.0	5766.0	7379.0	3580.0	4297.0	2153.0	1273.0	2401.0	2760.0	2105.0	1047.0	5309.0	4098.0	5358.0	575.0	5342.0	1341.0	2373.0	1887.0	1997.0	4283.0	1231.0	1143.0	2784.0	4631.0	1227.0	4030.0	3390.0	2312.0	647.0	2626.0	3682.0	15777.0	456.0	2127492.0	1955159.142595
sub-season110	1995.0	3671.0	2602.0	3362.0	2850.0	6556.0	3346.0	3424.0	2003.0	1111.0	3229.0	3748.0	773.0	2014.0	13184.0	21849.0	1566.0	2272.0	5500.0	3238.0	5317.0	5057.0	4004.0	7443.0	10116.0	5907.0	6322.0	3949.0	6995.0	7381.0	1515.0	404.0	992.0	5705.0	1971.0	1553.0	6268.0	8540.0	762.0	417.0	2272.0	5385.0	6453.0	3147.0	3564.0	1838.0	906.0	2020.0	2394.0	2242.0	605.0	3044.0	2888.0	4945.0	518.0	5656.0	1172.0	1659.0	1103.0	1466.0	3054.0	504.0	729.0	2575.0	3465.0	1184.0	3266.0	3137.0	2235.0	519.0	2924.0	1877.0	11555.0	614.0	1732844.0	1526380.723924
