lh.BA_exvivo.area	lh_BA1_exvivo_area	lh_BA2_exvivo_area	lh_BA3a_exvivo_area	lh_BA3b_exvivo_area	lh_BA4a_exvivo_area	lh_BA4p_exvivo_area	lh_BA6_exvivo_area	lh_BA44_exvivo_area	lh_BA45_exvivo_area	lh_V1_exvivo_area	lh_V2_exvivo_area	lh_MT_exvivo_area	lh_perirhinal_exvivo_area	lh_entorhinal_exvivo_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	623.0	2375.0	655.0	1602.0	914.0	780.0	5919.0	1617.0	2106.0	2226.0	5588.0	1166.0	335.0	441.0	86627.5	1582874.0	1388183.039176
sub-season102	671.0	2618.0	786.0	1551.0	1193.0	953.0	7043.0	1845.0	2952.0	2572.0	5742.0	1707.0	411.0	545.0	100536.0	2023725.0	1855763.461063
sub-season103	559.0	2287.0	682.0	1443.0	1004.0	811.0	6207.0	1643.0	1937.0	1660.0	4389.0	1017.0	330.0	458.0	81733.7	1596199.0	1453159.764317
sub-season104	563.0	2511.0	609.0	1391.0	846.0	767.0	5705.0	1582.0	1990.0	2113.0	5377.0	1515.0	479.0	561.0	88615.6	1745697.0	1579262.838206
sub-season105	546.0	2728.0	640.0	1572.0	1027.0	784.0	6115.0	1331.0	2104.0	2066.0	4824.0	1097.0	367.0	516.0	88507.7	1660365.0	1570462.886453
sub-season106	648.0	2468.0	686.0	1513.0	928.0	787.0	5640.0	1533.0	1853.0	1938.0	4901.0	1448.0	388.0	584.0	85600.9	1622499.0	1484703.431897
sub-season107	690.0	2402.0	736.0	1627.0	1063.0	865.0	6279.0	1221.0	1916.0	2427.0	5299.0	1118.0	465.0	592.0	88557.4	1766856.0	1546563.481325
sub-season108	581.0	2268.0	679.0	1501.0	845.0	756.0	5894.0	1483.0	1783.0	2418.0	5442.0	1383.0	348.0	488.0	84395.2	1599428.0	1442871.363481
sub-season109	751.0	2619.0	801.0	1767.0	972.0	963.0	7091.0	1838.0	2378.0	2745.0	6280.0	2182.0	358.0	456.0	103331.0	2124171.0	1962371.698302
sub-season110	600.0	2474.0	666.0	1509.0	966.0	846.0	5978.0	1352.0	1915.0	2814.0	5283.0	1137.0	393.0	503.0	89888.9	1736282.0	1528409.456225
sub-season111	755.0	3527.0	793.0	1761.0	1099.0	1030.0	6933.0	1458.0	1917.0	3002.0	5524.0	1322.0	516.0	687.0	96670.2	1899333.0	1847640.871226
sub-season112	844.0	3084.0	883.0	1940.0	1278.0	1195.0	7428.0	2481.0	2216.0	2779.0	6311.0	1479.0	432.0	548.0	105632.0	1982990.0	1847461.237093
sub-season114	578.0	2115.0	728.0	1443.0	958.0	878.0	6108.0	1196.0	1564.0	1771.0	4739.0	1111.0	322.0	441.0	79276.3	1586104.0	1454285.610994
sub-season116	700.0	3142.0	652.0	1548.0	971.0	770.0	7041.0	1510.0	2317.0	2811.0	5547.0	1175.0	351.0	442.0	94959.0	1864184.0	1661959.775933
sub-season117	632.0	2259.0	762.0	1579.0	1222.0	946.0	7048.0	1410.0	2282.0	2154.0	5199.0	1732.0	490.0	662.0	97677.6	2004602.0	1877210.629987
sub-season119	543.0	2241.0	595.0	1379.0	963.0	721.0	5775.0	1413.0	1717.0	2104.0	4748.0	1871.0	381.0	509.0	86460.8	1661744.0	1543731.273115
sub-season120	637.0	2593.0	647.0	1430.0	1017.0	864.0	7280.0	1365.0	2407.0	1739.0	5287.0	1592.0	329.0	363.0	92603.6	1878649.0	1671209.727034
sub-season121	878.0	3322.0	904.0	1963.0	1116.0	1121.0	8180.0	1566.0	2193.0	2973.0	7259.0	1525.0	513.0	681.0	105830.0	2006833.0	1902020.490605
sub-season122	675.0	2854.0	635.0	1546.0	1056.0	783.0	6681.0	1638.0	2373.0	2279.0	5251.0	1316.0	369.0	457.0	97413.2	1872440.0	1794427.85881
sub-season123	629.0	2394.0	717.0	1542.0	1191.0	851.0	7072.0	2228.0	2752.0	2927.0	6228.0	1578.0	395.0	501.0	104620.0	2044539.0	1853281.972512
sub-season124	623.0	2315.0	667.0	1343.0	961.0	827.0	5197.0	1049.0	1924.0	2131.0	5655.0	1708.0	490.0	581.0	86565.8	1795252.0	1681543.710064
sub-season125	728.0	2382.0	711.0	1644.0	1033.0	876.0	6673.0	1699.0	2279.0	2310.0	5816.0	1965.0	419.0	434.0	93884.0	1831546.0	1612456.424967
sub-season126	681.0	2412.0	733.0	1686.0	1098.0	909.0	6796.0	1362.0	1746.0	2389.0	5578.0	1295.0	343.0	502.0	91523.7	1749591.0	1659864.879575
sub-season127	621.0	2509.0	726.0	1629.0	1041.0	952.0	6170.0	1621.0	2567.0	2633.0	5786.0	1829.0	385.0	543.0	95748.7	1919874.0	1781384.489153
sub-season128	881.0	4452.0	736.0	1601.0	998.0	976.0	5510.0	1388.0	2759.0	2512.0	5683.0	1381.0	394.0	570.0	91444.3	1704446.0	1646061.979673
sub-season129	639.0	2130.0	621.0	1543.0	907.0	737.0	5920.0	1444.0	1796.0	2266.0	5546.0	1261.0	366.0	489.0	84711.8	1645993.0	1508564.640623
sub-season130	566.0	2115.0	669.0	1465.0	917.0	803.0	5442.0	1477.0	2017.0	2526.0	5254.0	1409.0	431.0	464.0	88135.2	1764883.0	1539840.061463
sub-season131	685.0	2516.0	734.0	1570.0	1094.0	903.0	7413.0	1946.0	2100.0	2349.0	5259.0	2043.0	450.0	633.0	98281.3	1929511.0	1780833.56615
sub-season132	486.0	1784.0	586.0	1252.0	796.0	706.0	5050.0	1371.0	1643.0	2159.0	5249.0	1160.0	353.0	388.0	76068.4	1468388.0	1437269.594262
sub-season133	628.0	2371.0	727.0	1457.0	961.0	874.0	6327.0	1789.0	2441.0	2265.0	5174.0	1273.0	402.0	515.0	85777.7	1716913.0	1527295.420286
sub-season134	804.0	3061.0	752.0	1799.0	1090.0	963.0	6783.0	2182.0	2527.0	2556.0	5314.0	1458.0	647.0	689.0	99728.6	1888480.0	1790093.865658
sub-season135	606.0	2683.0	631.0	1402.0	904.0	730.0	5192.0	1718.0	2200.0	1834.0	4224.0	1002.0	426.0	631.0	83166.8	1734001.0	1611218.931581
sub-season136	522.0	2429.0	597.0	1282.0	885.0	704.0	5074.0	1365.0	1825.0	1732.0	4565.0	1349.0	364.0	516.0	79288.3	1517832.0	1055213.176187
sub-season137	550.0	2296.0	670.0	1411.0	879.0	797.0	5927.0	1527.0	1793.0	2399.0	5845.0	1570.0	349.0	435.0	83763.9	1677855.0	1473267.27748
sub-season138	586.0	2476.0	655.0	1417.0	873.0	758.0	5016.0	1778.0	2532.0	1902.0	4788.0	999.0	365.0	458.0	81350.0	1650225.0	1583557.102839
sub-season139	630.0	2959.0	620.0	1489.0	945.0	788.0	6923.0	1328.0	1871.0	2039.0	5506.0	1096.0	439.0	447.0	93029.8	1800729.0	1603413.675221
sub-season202	839.0	3343.0	690.0	1907.0	1057.0	908.0	7466.0	1603.0	2621.0	2096.0	5889.0	1332.0	578.0	759.0	106527.0	2095131.0	1924322.56479
sub-season204	650.0	2717.0	709.0	1614.0	945.0	879.0	6154.0	1484.0	1906.0	2561.0	6006.0	1093.0	332.0	393.0	92818.6	1700123.0	1563402.33921
sub-season206	585.0	2404.0	606.0	1402.0	866.0	764.0	5091.0	1302.0	1422.0	1758.0	4032.0	1149.0	425.0	542.0	77529.7	1483635.0	1381952.007729
sub-season207	559.0	2301.0	723.0	1507.0	1027.0	841.0	6383.0	1503.0	2265.0	2402.0	4981.0	1565.0	426.0	650.0	94687.2	1918529.0	1635938.248445
sub-season208	563.0	2483.0	645.0	1418.0	968.0	737.0	6243.0	1242.0	2148.0	2432.0	4961.0	1135.0	396.0	508.0	83005.8	1648395.0	1510409.717743
sub-season211	618.0	2105.0	694.0	1412.0	1086.0	859.0	5845.0	1378.0	1769.0	2333.0	5334.0	1201.0	410.0	525.0	80843.0	1541125.0	1318768.437228
sub-season212	577.0	2602.0	685.0	1338.0	1031.0	835.0	6069.0	1331.0	1659.0	2050.0	4852.0	1172.0	351.0	438.0	82390.4	1567224.0	1437638.547011
sub-season213	658.0	2605.0	685.0	1629.0	1149.0	835.0	7022.0	2109.0	2686.0	2782.0	6272.0	1803.0	357.0	441.0	102863.0	2016460.0	1828603.601019
sub-season214	615.0	2793.0	673.0	1453.0	1111.0	775.0	5542.0	1339.0	1900.0	2007.0	4696.0	1204.0	348.0	413.0	87871.8	1776364.0	1560816.551946
sub-season215	772.0	3364.0	677.0	1595.0	955.0	791.0	6318.0	1831.0	2588.0	2758.0	6179.0	1599.0	345.0	459.0	102029.0	2004954.0	1897750.703816
sub-season216	490.0	1812.0	661.0	1343.0	913.0	796.0	5752.0	1353.0	1683.0	1972.0	4965.0	1110.0	361.0	416.0	76766.0	1682602.0	1572543.232359
sub-season217	547.0	2111.0	620.0	1344.0	811.0	766.0	5996.0	1397.0	1652.0	2288.0	4549.0	1265.0	339.0	421.0	79251.2	1595184.0	1512623.392129
