lh.BA_exvivo.thickness	lh_BA1_exvivo_thickness	lh_BA2_exvivo_thickness	lh_BA3a_exvivo_thickness	lh_BA3b_exvivo_thickness	lh_BA4a_exvivo_thickness	lh_BA4p_exvivo_thickness	lh_BA6_exvivo_thickness	lh_BA44_exvivo_thickness	lh_BA45_exvivo_thickness	lh_V1_exvivo_thickness	lh_V2_exvivo_thickness	lh_MT_exvivo_thickness	lh_perirhinal_exvivo_thickness	lh_entorhinal_exvivo_thickness	BrainSegVolNotVent	eTIV
sub-season101	2.471	2.235	1.768	2.204	2.792	2.699	2.792	2.596	2.514	1.787	2.039	2.447	3.071	2.897	1592925.0	1412166.900513
sub-season102	2.266	2.223	1.823	1.881	2.884	2.894	2.884	2.811	2.639	1.952	2.122	2.503	2.977	3.013	2019190.0	1836734.352672
sub-season103	2.389	2.439	1.993	2.036	3.074	3.055	2.967	2.957	2.684	1.988	2.161	2.462	3.311	3.389	1604558.0	1443544.19585
sub-season104	2.346	2.397	1.846	1.958	2.935	2.73	3.098	3.021	2.79	1.919	2.264	2.567	3.623	3.792	1745081.0	1582548.662703
sub-season105	2.284	2.306	1.954	2.041	2.874	2.792	2.826	2.802	2.68	1.88	2.166	2.642	3.506	2.63	1643021.0	1563538.009266
sub-season106	2.349	2.382	1.699	1.9	3.054	2.809	2.958	2.73	2.701	1.846	2.064	2.44	3.42	3.208	1624831.0	1482952.883913
sub-season107	2.307	2.456	1.839	2.047	2.878	2.651	2.933	3.01	2.628	1.816	2.217	2.617	3.457	3.402	1762574.0	1540944.436115
sub-season108	2.194	2.322	1.838	1.935	2.763	2.83	2.926	2.739	2.76	1.739	2.01	2.247	3.332	3.422	1608348.0	1453691.045969
sub-season109	2.662	2.66	1.856	2.203	3.345	2.862	3.178	3.078	2.812	2.011	2.318	2.826	3.625	2.992	2116975.0	1949204.264928
sub-season110	2.466	2.38	2.012	2.132	2.953	2.955	3.09	2.838	2.544	1.805	2.032	2.667	3.41	3.351	1728574.0	1545647.495434
sub-season111	2.084	2.342	1.877	1.94	2.859	2.603	2.927	2.828	2.758	1.974	2.134	2.413	3.238	3.145	1887219.0	1820797.057342
sub-season112	2.456	2.205	1.852	1.997	2.925	2.768	2.703	2.544	2.37	1.767	1.886	2.378	3.609	2.999	1986596.0	1855650.512396
sub-season114	2.415	2.376	1.835	1.85	2.998	2.779	3.025	3.058	2.718	1.653	2.028	2.435	3.53	3.265	1589934.0	1453974.037606
sub-season116	2.102	2.165	1.851	1.943	2.864	2.723	2.912	2.99	2.738	1.912	2.05	2.47	3.261	2.643	1864222.0	1656987.75507
sub-season117	1.991	2.088	1.768	1.755	2.853	2.735	2.889	2.818	2.656	1.791	2.166	2.41	4.068	3.178	2004035.0	1887383.587011
sub-season119	2.528	2.423	2.039	2.081	3.235	3.019	3.011	2.874	2.664	2.078	2.228	2.528	3.913	3.202	1696676.0	1569429.750095
sub-season120	2.556	2.465	2.16	2.131	3.126	2.955	3.044	2.832	2.604	1.784	2.288	2.461	3.415	3.017	1847717.0	1664683.598266
sub-season121	2.598	2.319	1.861	2.071	2.908	2.736	2.883	2.891	2.686	1.943	2.186	2.6	3.703	3.594	2008369.0	1897894.403667
sub-season122	2.559	2.516	1.978	2.134	3.07	2.838	3.084	3.104	2.683	1.942	2.159	2.452	3.561	2.977	1880815.0	1805189.790401
sub-season123	2.359	2.317	1.772	2.056	2.85	2.704	2.952	2.81	2.803	1.843	2.11	2.59	3.015	3.043	2039640.0	1849012.463256
sub-season124	2.441	2.431	2.033	2.021	2.884	2.863	3.12	2.886	2.682	1.931	2.312	2.749	3.615	3.229	1783291.0	1690958.095541
sub-season125	2.54	2.508	1.785	2.082	3.09	2.906	2.983	2.938	2.621	1.996	2.167	2.416	3.236	2.946	1824819.0	1602272.803847
sub-season126	2.408	2.185	1.774	1.956	2.746	2.545	2.651	2.795	2.731	1.962	2.165	2.402	3.348	3.258	1753096.0	1661498.478944
sub-season127	2.693	2.408	1.931	2.12	3.073	2.948	3.076	2.893	2.662	1.971	2.145	2.595	3.34	3.245	1909443.0	1783880.913517
sub-season128	2.114	2.339	2.026	2.022	2.945	2.817	2.859	2.741	2.663	1.821	2.084	2.528	3.573	3.109	1696295.0	1630717.95911
sub-season129	2.357	2.486	1.9	2.067	2.932	2.803	2.85	2.777	2.613	1.869	2.215	2.79	3.441	3.355	1647904.0	1503300.398544
sub-season130	2.565	2.501	2.004	2.156	3.083	2.897	2.959	2.929	2.569	1.916	2.355	2.539	3.557	3.05	1757452.0	1536729.309148
sub-season131	2.2	2.217	1.809	2.002	2.83	2.883	2.816	2.661	2.412	1.709	1.971	2.344	3.438	3.394	1921984.0	1770893.529474
sub-season132	2.642	2.356	1.952	1.986	3.072	2.899	2.98	2.732	2.748	1.958	2.225	2.556	3.645	3.023	1452157.0	1439867.91904
sub-season133	2.781	2.504	1.967	2.206	3.209	2.892	3.094	2.84	2.612	1.965	2.193	2.781	3.451	3.505	1700360.0	1525489.052102
sub-season134	2.534	2.517	2.006	2.116	3.006	2.681	3.108	3.019	2.712	1.922	2.196	2.557	3.671	3.261	1911721.0	1823397.722049
sub-season135	2.599	2.344	2.023	2.221	3.044	2.855	3.189	3.017	2.728	2.026	2.255	2.799	3.432	3.301	1745319.0	1610476.458085
sub-season136	2.462	2.439	2.075	1.985	2.91	2.688	3.09	2.794	2.636	1.853	2.15	2.603	3.416	3.365	1513888.0	1035253.679693
sub-season137	2.395	2.43	1.974	1.947	3.122	2.804	2.965	2.711	2.64	2.077	2.303	2.548	3.191	3.565	1685920.0	1477723.11448
sub-season138	2.485	2.417	1.878	1.941	3.013	3.076	3.074	2.866	2.729	1.782	2.094	2.769	3.496	3.348	1628419.0	1579182.412506
sub-season139	2.009	2.037	1.893	2.014	2.786	2.706	2.851	2.91	2.558	1.772	1.977	2.389	3.678	2.942	1786268.0	1746086.487966
sub-season202	2.636	2.278	1.788	2.19	3.081	2.672	2.876	2.886	2.685	1.894	1.996	2.493	3.509	3.169	2095322.0	1918579.22066
