lh.BA_exvivo.volume	lh_BA1_exvivo_volume	lh_BA2_exvivo_volume	lh_BA3a_exvivo_volume	lh_BA3b_exvivo_volume	lh_BA4a_exvivo_volume	lh_BA4p_exvivo_volume	lh_BA6_exvivo_volume	lh_BA44_exvivo_volume	lh_BA45_exvivo_volume	lh_V1_exvivo_volume	lh_V2_exvivo_volume	lh_MT_exvivo_volume	lh_perirhinal_exvivo_volume	lh_entorhinal_exvivo_volume	BrainSegVolNotVent	eTIV
sub-season101	1949.0	5474.0	954.0	4039.0	3005.0	2078.0	20112.0	4630.0	6164.0	4070.0	12896.0	3526.0	1664.0	1459.0	1582874.0	1388183.039176
sub-season102	2184.0	6363.0	1211.0	3541.0	4096.0	2770.0	25630.0	6114.0	9386.0	5599.0	13954.0	4792.0	1692.0	2301.0	2023725.0	1855763.461063
sub-season103	1707.0	5840.0	1039.0	3222.0	3486.0	2417.0	22701.0	5764.0	6185.0	3341.0	10201.0	2687.0	1512.0	1916.0	1596199.0	1453159.764317
sub-season104	1851.0	6707.0	927.0	3294.0	3153.0	2016.0	21689.0	5800.0	6509.0	4259.0	13769.0	4308.0	1874.0	2891.0	1745697.0	1579262.838206
sub-season105	1642.0	6962.0	1039.0	3615.0	3393.0	2252.0	20989.0	4227.0	7243.0	4154.0	11680.0	3381.0	1764.0	1329.0	1660365.0	1570462.886453
sub-season106	2035.0	6360.0	951.0	3244.0	3356.0	2221.0	19865.0	4833.0	6387.0	3925.0	11273.0	3838.0	1732.0	2486.0	1622499.0	1484703.431897
sub-season107	2069.0	6137.0	1101.0	3731.0	3463.0	2284.0	22107.0	4695.0	5665.0	4330.0	12465.0	3287.0	2074.0	2915.0	1766856.0	1546563.481325
sub-season108	1638.0	5745.0	1036.0	3124.0	3013.0	2152.0	20344.0	4604.0	6288.0	4679.0	12669.0	3403.0	1516.0	1771.0	1599428.0	1442871.363481
sub-season109	2641.0	7796.0	1168.0	4398.0	4007.0	2861.0	27960.0	6637.0	7889.0	5342.0	16103.0	7088.0	1679.0	1509.0	2124171.0	1962371.698302
sub-season110	2044.0	6341.0	1072.0	3672.0	3647.0	2434.0	24047.0	4452.0	6068.0	5243.0	11622.0	3850.0	1843.0	2452.0	1736282.0	1528409.456225
sub-season111	2154.0	8924.0	1192.0	3860.0	3896.0	2770.0	24619.0	4754.0	6459.0	6181.0	12696.0	3650.0	2254.0	2903.0	1899333.0	1847640.871226
sub-season112	2883.0	7419.0	1356.0	4493.0	4282.0	3228.0	24471.0	7467.0	6225.0	4986.0	13080.0	3803.0	2163.0	1853.0	1982990.0	1847461.237093
sub-season114	2020.0	5565.0	1112.0	3276.0	3621.0	2540.0	23461.0	4732.0	5289.0	3472.0	11051.0	3135.0	1625.0	2039.0	1586104.0	1454285.610994
sub-season116	1976.0	7437.0	953.0	3433.0	3395.0	2039.0	24606.0	5215.0	7523.0	5420.0	12628.0	3235.0	1581.0	1335.0	1864184.0	1661959.775933
sub-season117	1733.0	4954.0	1159.0	3241.0	4105.0	2633.0	24162.0	4635.0	7119.0	4157.0	13113.0	4680.0	2700.0	2540.0	2004602.0	1877210.629987
sub-season119	1894.0	5759.0	939.0	3164.0	3830.0	2159.0	21156.0	5060.0	5398.0	4567.0	11901.0	5055.0	2180.0	2004.0	1661744.0	1543731.273115
sub-season120	2175.0	6612.0	1169.0	3407.0	3851.0	2443.0	26980.0	4475.0	7722.0	3365.0	13825.0	4384.0	1544.0	1268.0	1878649.0	1671209.727034
sub-season121	3231.0	7980.0	1345.0	4824.0	3839.0	2883.0	28539.0	5303.0	7027.0	6065.0	17809.0	4771.0	2299.0	3102.0	2006833.0	1902020.490605
sub-season122	2350.0	7340.0	1007.0	3859.0	4060.0	2145.0	24856.0	6032.0	7397.0	4089.0	12876.0	3834.0	2037.0	1543.0	1872440.0	1794427.85881
sub-season123	1908.0	6333.0	1052.0	3522.0	4084.0	2463.0	24883.0	7260.0	8944.0	5569.0	14545.0	4669.0	1869.0	1547.0	2044539.0	1853281.972512
sub-season124	2219.0	6109.0	1031.0	3527.0	3368.0	2233.0	20547.0	3911.0	6298.0	4421.0	15153.0	5478.0	2451.0	2580.0	1795252.0	1681543.710064
sub-season125	2596.0	6493.0	1061.0	4079.0	3980.0	2525.0	25431.0	6102.0	7534.0	4863.0	14202.0	5286.0	1623.0	1567.0	1831546.0	1612456.424967
sub-season126	2351.0	5782.0	1056.0	3643.0	3617.0	2309.0	22065.0	4656.0	6098.0	4926.0	13622.0	3475.0	1580.0	2096.0	1749591.0	1659864.879575
sub-season127	2538.0	6746.0	1107.0	4014.0	3958.0	2715.0	24089.0	5378.0	8346.0	5266.0	14047.0	4930.0	1901.0	2077.0	1919874.0	1781384.489153
sub-season128	2589.0	11522.0	1257.0	3642.0	3620.0	2795.0	19176.0	4463.0	8990.0	4445.0	12940.0	4083.0	2162.0	2293.0	1704446.0	1646061.979673
sub-season129	1956.0	5719.0	980.0	3775.0	3345.0	2016.0	21040.0	4901.0	6001.0	4628.0	13871.0	4242.0	1726.0	2191.0	1645993.0	1508564.640623
sub-season130	2086.0	5719.0	1163.0	3618.0	3551.0	2382.0	20556.0	5467.0	6212.0	5582.0	14610.0	3981.0	2504.0	1819.0	1764883.0	1539840.061463
sub-season131	1949.0	6001.0	1099.0	3524.0	3360.0	2463.0	24831.0	5944.0	6498.0	4398.0	11672.0	5162.0	1910.0	3036.0	1929511.0	1780833.56615
sub-season132	1798.0	4499.0	930.0	2928.0	3507.0	2143.0	18761.0	4775.0	5879.0	4274.0	13390.0	3817.0	1635.0	1531.0	1468388.0	1437269.594262
sub-season133	2436.0	6560.0	1208.0	3812.0	3711.0	2483.0	23912.0	5905.0	7438.0	4753.0	13093.0	4224.0	1868.0	2638.0	1716913.0	1527295.420286
sub-season134	2813.0	8449.0	1212.0	4417.0	4026.0	2496.0	26007.0	7760.0	8033.0	5071.0	13095.0	4339.0	2961.0	3293.0	1888480.0	1790093.865658
sub-season135	2139.0	6696.0	1011.0	3629.0	3314.0	2061.0	20457.0	6195.0	7264.0	4133.0	10939.0	3656.0	1887.0	2829.0	1734001.0	1611218.931581
sub-season136	1665.0	6223.0	919.0	2883.0	2999.0	1798.0	19112.0	4573.0	5733.0	3461.0	10233.0	4418.0	1773.0	1908.0	1517832.0	1055213.176187
sub-season137	1850.0	5856.0	1078.0	3300.0	3428.0	2369.0	21336.0	4831.0	5839.0	5100.0	15120.0	4280.0	1588.0	1879.0	1677855.0	1473267.27748
sub-season138	1996.0	6772.0	990.0	3057.0	3389.0	2366.0	19988.0	6177.0	8586.0	3494.0	11828.0	3308.0	1965.0	1926.0	1650225.0	1583557.102839
sub-season139	1809.0	6490.0	959.0	3680.0	3335.0	2085.0	24585.0	4693.0	5889.0	4269.0	12262.0	3056.0	2318.0	1396.0	1800729.0	1603413.675221
sub-season202	3048.0	8199.0	1016.0	4980.0	4035.0	2372.0	26899.0	5548.0	7989.0	4266.0	13087.0	4047.0	2759.0	3564.0	2095131.0	1924322.56479
sub-season204	1991.0	6348.0	1036.0	3703.0	3228.0	2386.0	21626.0	4396.0	5995.0	4426.0	12836.0	3040.0	1660.0	1285.0	1700123.0	1563402.33921
sub-season206	1691.0	6122.0	968.0	3198.0	2977.0	2098.0	18627.0	4746.0	4950.0	3356.0	9307.0	3523.0	1981.0	2001.0	1483635.0	1381952.007729
sub-season207	1706.0	5951.0	1100.0	3525.0	3675.0	2408.0	23889.0	5618.0	7042.0	4548.0	11869.0	4296.0	1855.0	2920.0	1918529.0	1635938.248445
sub-season208	1770.0	6441.0	1098.0	3229.0	3779.0	2200.0	23507.0	4160.0	7504.0	4994.0	11901.0	3518.0	2247.0	1963.0	1648395.0	1510409.717743
sub-season211	1989.0	5188.0	1021.0	3183.0	3797.0	2217.0	21113.0	4576.0	5679.0	4071.0	13490.0	3505.0	1857.0	1776.0	1541125.0	1318768.437228
sub-season212	1956.0	6518.0	1054.0	3078.0	3564.0	2292.0	21681.0	4367.0	4999.0	4147.0	11628.0	3003.0	1566.0	1503.0	1567224.0	1437638.547011
sub-season213	2184.0	6462.0	1045.0	3997.0	4015.0	2214.0	25099.0	6379.0	8587.0	6497.0	16194.0	6007.0	1943.0	1362.0	2016460.0	1828603.601019
sub-season214	2175.0	7713.0	1165.0	3483.0	4321.0	2363.0	24008.0	4711.0	7249.0	4134.0	12541.0	4337.0	1826.0	1443.0	1776364.0	1560816.551946
sub-season215	2284.0	8311.0	981.0	3277.0	3312.0	2179.0	22394.0	6085.0	7998.0	5168.0	14237.0	4731.0	1843.0	1636.0	2004954.0	1897750.703816
sub-season216	1905.0	4814.0	1005.0	3213.0	3763.0	2482.0	21772.0	4229.0	5573.0	4717.0	12752.0	3159.0	1815.0	1565.0	1682602.0	1572543.232359
sub-season217	1646.0	4950.0	979.0	2905.0	3209.0	2230.0	20798.0	4509.0	5243.0	4609.0	10246.0	3187.0	1763.0	1477.0	1595184.0	1512623.392129
