lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-season101	2.696	2.596	2.013	3.616	2.768	2.405	2.9	2.357	2.189	2.757	2.193	2.441	2.813	2.413	2.389	2.69	2.584	2.514	1.682	2.252	2.343	2.595	2.319	2.92	2.344	2.631	2.17	2.831	2.523	2.939	3.279	2.50715	1582874.0	1388183.039176
sub-season102	2.641	2.756	2.14	3.251	2.773	2.573	2.881	2.42	2.288	2.841	2.286	2.385	2.849	2.765	2.664	2.939	2.826	2.606	1.855	2.226	2.673	2.865	2.571	2.929	2.657	2.854	2.447	2.865	2.687	2.604	3.254	2.64655	2023725.0	1855763.461063
sub-season103	2.63	2.712	2.091	3.251	2.829	2.608	2.786	2.397	2.226	2.898	2.249	2.474	2.891	3.152	2.742	2.917	2.982	2.592	2.007	2.201	2.467	2.885	2.604	3.114	2.682	2.864	2.412	2.951	2.662	2.64	3.184	2.66258	1596199.0	1453159.764317
sub-season104	2.617	2.824	2.277	3.635	2.976	2.619	2.915	2.755	2.255	2.867	2.424	2.318	2.98	3.37	2.817	2.962	3.147	2.733	1.903	2.283	2.355	2.867	2.597	2.828	2.628	3.008	2.427	3.155	2.828	2.608	3.482	2.72228	1745697.0	1579262.838206
sub-season105	3.086	2.746	1.956	3.102	2.792	2.549	2.765	2.446	2.285	2.876	2.237	2.562	2.776	2.684	2.741	2.826	3.028	2.567	1.851	2.183	2.56	2.744	2.583	3.37	2.557	2.849	2.234	2.89	2.701	2.524	3.228	2.62149	1660365.0	1570462.886453
sub-season106	2.833	2.697	1.982	3.327	2.732	2.419	2.814	2.571	2.14	2.806	2.19	2.462	2.757	2.818	2.755	2.765	2.755	2.741	1.86	2.238	2.662	2.829	2.534	2.942	2.561	2.853	2.165	2.879	2.542	2.774	3.525	2.59598	1622499.0	1484703.431897
sub-season107	2.682	2.768	2.061	3.455	2.809	2.607	3.039	2.335	2.263	2.767	2.297	2.494	2.986	3.049	2.565	3.051	3.107	2.621	1.845	2.226	2.522	2.728	2.513	2.938	2.671	2.938	2.305	3.034	2.804	2.532	3.398	2.67734	1766856.0	1546563.481325
sub-season108	2.758	2.764	2.138	3.1	2.771	2.501	2.795	2.478	2.157	2.812	2.116	2.556	2.866	3.575	2.57	2.743	2.75	2.713	1.802	2.14	2.472	2.76	2.498	3.287	2.568	2.835	2.254	2.833	2.597	2.506	3.375	2.59522	1599428.0	1442871.363481
sub-season109	2.834	2.905	2.175	3.591	2.8	2.77	3.02	2.649	2.427	2.999	2.309	2.72	3.112	2.65	2.838	3.04	3.225	2.721	1.957	2.403	2.412	3.008	2.703	2.979	2.823	3.078	2.479	3.022	2.803	2.951	3.419	2.79056	2124171.0	1962371.698302
sub-season110	3.173	2.893	2.045	3.581	2.908	2.552	2.915	2.732	2.275	3.097	2.128	2.585	2.921	2.885	2.851	2.784	2.867	2.564	1.771	2.321	2.722	2.901	2.628	3.187	2.652	3.079	2.358	3.174	2.679	2.81	3.263	2.71491	1736282.0	1528409.456225
