lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	870.0	449.0	2183.0	1524.0	395.0	2723.0	3294.0	2921.0	1121.0	5015.0	2540.0	3010.0	1584.0	2900.0	621.0	998.0	1666.0	724.0	1536.0	1267.0	4172.0	1051.0	4506.0	4147.0	528.0	6546.0	7313.0	5356.0	3703.0	4157.0	290.0	484.0	405.0	2514.0	82491.7	1592925.0	1412166.900513
sub-season102	1083.0	754.0	2554.0	1717.0	480.0	3346.0	4747.0	3422.0	1134.0	5591.0	2745.0	3207.0	2085.0	3422.0	641.0	1598.0	2178.0	918.0	1920.0	1498.0	4177.0	1212.0	5264.0	4415.0	775.0	6405.0	7674.0	6231.0	4568.0	4263.0	331.0	620.0	590.0	2582.0	93975.4	2019190.0	1836734.352672
sub-season103	937.0	546.0	2356.0	980.0	406.0	2345.0	3927.0	2537.0	1067.0	4049.0	2166.0	2704.0	1580.0	2681.0	540.0	1193.0	1653.0	602.0	1235.0	867.0	3644.0	1059.0	4893.0	3091.0	657.0	5415.0	7182.0	5048.0	3546.0	4427.0	283.0	566.0	416.0	2014.0	76595.9	1604558.0	1443544.19585
sub-season104	952.0	545.0	1769.0	1595.0	453.0	3125.0	4341.0	3136.0	766.0	5424.0	2315.0	2767.0	2017.0	3113.0	607.0	1136.0	1461.0	750.0	1140.0	1150.0	3567.0	860.0	4319.0	3873.0	607.0	5901.0	7176.0	5857.0	3684.0	3441.0	425.0	650.0	545.0	2154.0	81611.2	1745081.0	1582548.662703
sub-season105	1201.0	430.0	1580.0	1259.0	418.0	2882.0	4133.0	3651.0	923.0	3963.0	1984.0	2800.0	1409.0	2989.0	615.0	1257.0	1429.0	654.0	1343.0	1210.0	3604.0	831.0	4625.0	3865.0	408.0	5697.0	7577.0	6717.0	4038.0	5426.0	334.0	467.0	565.0	2442.0	82718.2	1643021.0	1563538.009266
sub-season106	922.0	619.0	2459.0	1222.0	464.0	3278.0	4585.0	2869.0	835.0	4744.0	2682.0	2732.0	1715.0	3117.0	608.0	1452.0	1608.0	692.0	1272.0	1120.0	4075.0	1347.0	4303.0	3377.0	642.0	5571.0	6699.0	5671.0	3713.0	3359.0	246.0	487.0	469.0	2278.0	81046.6	1624831.0	1482952.883913
sub-season107	1291.0	679.0	1904.0	1487.0	512.0	2678.0	4856.0	2851.0	1014.0	4421.0	2637.0	2871.0	1890.0	3006.0	607.0	1455.0	1424.0	706.0	1249.0	1479.0	4093.0	1302.0	4510.0	3458.0	815.0	5919.0	7951.0	4446.0	3868.0	3766.0	274.0	485.0	403.0	2681.0	82985.4	1762574.0	1540944.436115
sub-season108	811.0	465.0	2611.0	1341.0	470.0	2438.0	4258.0	3213.0	875.0	4954.0	2530.0	3282.0	1965.0	3093.0	563.0	1412.0	1442.0	582.0	1203.0	1420.0	3747.0	1019.0	4428.0	3108.0	503.0	5823.0	7588.0	4913.0	3338.0	2941.0	395.0	616.0	556.0	2353.0	80247.1	1608348.0	1453691.045969
sub-season109	1043.0	775.0	2834.0	1639.0	379.0	3430.0	5686.0	4219.0	1184.0	6470.0	2769.0	3320.0	2012.0	4100.0	719.0	1197.0	1939.0	854.0	1518.0	1492.0	4438.0	1467.0	5535.0	4124.0	734.0	6335.0	7880.0	5257.0	4551.0	4605.0	309.0	559.0	521.0	2504.0	96382.4	2116975.0	1949204.264928
sub-season110	1344.0	524.0	2513.0	1402.0	396.0	2848.0	4418.0	3080.0	1022.0	4570.0	2218.0	3277.0	1788.0	3007.0	613.0	1314.0	1539.0	680.0	1075.0	1533.0	3795.0	1101.0	4386.0	4682.0	785.0	5951.0	7158.0	6116.0	3658.0	4018.0	294.0	530.0	484.0	2329.0	84444.5	1728574.0	1545647.495434
sub-season111	1109.0	613.0	2345.0	1528.0	704.0	3443.0	4212.0	3559.0	1083.0	4872.0	2434.0	3245.0	1602.0	3417.0	789.0	1538.0	1590.0	748.0	1235.0	1730.0	4937.0	1194.0	5427.0	4107.0	755.0	5615.0	8012.0	5267.0	4063.0	4598.0	302.0	547.0	556.0	2597.0	89767.2	1887219.0	1820797.057342
sub-season112	1000.0	562.0	2717.0	1868.0	551.0	3486.0	4888.0	4438.0	1127.0	5606.0	2955.0	3474.0	1999.0	3928.0	728.0	1388.0	2330.0	677.0	1268.0	1559.0	5148.0	1060.0	6373.0	4440.0	957.0	6781.0	8589.0	6699.0	4797.0	4539.0	316.0	608.0	557.0	2512.0	99912.1	1986596.0	1855650.512396
sub-season114	1101.0	359.0	1691.0	1227.0	382.0	2787.0	4014.0	2773.0	837.0	4492.0	1785.0	2441.0	1547.0	2725.0	496.0	1320.0	1271.0	619.0	1096.0	916.0	3616.0	928.0	4482.0	3530.0	347.0	4456.0	7566.0	5011.0	3452.0	3592.0	395.0	576.0	502.0	2125.0	74456.3	1589934.0	1453974.037606
sub-season116	1129.0	554.0	2541.0	1583.0	422.0	3494.0	4050.0	3397.0	931.0	4985.0	2461.0	3176.0	1788.0	3542.0	593.0	1358.0	1684.0	787.0	1434.0	1503.0	4070.0	1366.0	4722.0	3919.0	704.0	6103.0	8282.0	5501.0	4440.0	4839.0	331.0	539.0	581.0	2320.0	89120.1	1864222.0	1656987.75507
sub-season117	1011.0	775.0	2263.0	1368.0	578.0	2827.0	4365.0	4843.0	919.0	5370.0	2626.0	2939.0	1611.0	3418.0	742.0	1679.0	1374.0	744.0	1388.0	1107.0	3914.0	1591.0	5653.0	4354.0	1105.0	6935.0	8358.0	5908.0	3896.0	3867.0	277.0	644.0	485.0	2641.0	91568.6	2004035.0	1887383.587011
sub-season119	990.0	491.0	1796.0	1418.0	498.0	3233.0	5436.0	3567.0	870.0	5412.0	2575.0	2367.0	2052.0	3184.0	565.0	1319.0	1449.0	651.0	1182.0	1247.0	3517.0	1026.0	4244.0	3869.0	607.0	5023.0	7259.0	5120.0	3516.0	3772.0	370.0	665.0	431.0	2320.0	82040.1	1696676.0	1569429.750095
sub-season120	934.0	532.0	2376.0	1443.0	299.0	2881.0	4188.0	3753.0	978.0	5342.0	2875.0	2481.0	1734.0	3424.0	637.0	1303.0	1446.0	869.0	1586.0	969.0	3872.0	897.0	4776.0	3642.0	843.0	6443.0	8946.0	5338.0	3810.0	3978.0	293.0	387.0	468.0	2375.0	86115.9	1847717.0	1664683.598266
sub-season121	1303.0	752.0	2258.0	1902.0	473.0	3438.0	6122.0	4092.0	1526.0	6499.0	2837.0	3692.0	1976.0	3215.0	713.0	1321.0	1634.0	875.0	1455.0	1800.0	5286.0	1291.0	6185.0	4460.0	769.0	6111.0	8442.0	6525.0	3875.0	4215.0	327.0	529.0	495.0	2744.0	99128.5	2008369.0	1897894.403667
sub-season122	1063.0	613.0	2341.0	1376.0	409.0	2636.0	4433.0	4000.0	1118.0	4809.0	2846.0	2941.0	1813.0	3342.0	675.0	1508.0	1791.0	620.0	1563.0	1281.0	4262.0	1504.0	4568.0	4691.0	996.0	6699.0	9105.0	6323.0	3978.0	4524.0	329.0	511.0	492.0	2588.0	91743.5	1880815.0	1805189.790401
sub-season123	1015.0	586.0	2619.0	1632.0	409.0	3113.0	4518.0	3804.0	1370.0	5917.0	2912.0	3582.0	2478.0	4141.0	789.0	1589.0	2308.0	813.0	1746.0	1776.0	4008.0	997.0	5420.0	4193.0	1320.0	6253.0	8253.0	5751.0	5639.0	4917.0	284.0	609.0	608.0	2620.0	97983.8	2039640.0	1849012.463256
sub-season124	1092.0	338.0	1466.0	1598.0	576.0	3170.0	5004.0	3041.0	846.0	6123.0	2527.0	2745.0	1534.0	2974.0	616.0	1176.0	1342.0	729.0	1247.0	1208.0	3633.0	926.0	4158.0	3599.0	334.0	5702.0	6584.0	5026.0	4112.0	3298.0	392.0	612.0	559.0	2314.0	80596.0	1783291.0	1690958.095541
