lh.BA_exvivo.area	lh_BA1_exvivo_area	lh_BA2_exvivo_area	lh_BA3a_exvivo_area	lh_BA3b_exvivo_area	lh_BA4a_exvivo_area	lh_BA4p_exvivo_area	lh_BA6_exvivo_area	lh_BA44_exvivo_area	lh_BA45_exvivo_area	lh_V1_exvivo_area	lh_V2_exvivo_area	lh_MT_exvivo_area	lh_perirhinal_exvivo_area	lh_entorhinal_exvivo_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	603.0	2490.0	650.0	1647.0	808.0	804.0	5944.0	1657.0	2132.0	2209.0	5651.0	1136.0	337.0	448.0	87520.2	1592925.0	1412166.900513
sub-season102	682.0	2535.0	753.0	1514.0	1148.0	901.0	6847.0	1861.0	2913.0	2612.0	5826.0	1672.0	441.0	565.0	100108.0	2019190.0	1836734.352672
sub-season103	551.0	2320.0	669.0	1461.0	1001.0	827.0	6226.0	1622.0	1894.0	1626.0	4309.0	1023.0	347.0	457.0	81537.5	1604558.0	1443544.19585
sub-season104	562.0	2468.0	632.0	1386.0	865.0	758.0	5625.0	1507.0	1810.0	2089.0	5436.0	1534.0	461.0	531.0	87182.0	1745081.0	1582548.662703
sub-season105	514.0	2767.0	642.0	1597.0	988.0	792.0	6070.0	1317.0	2066.0	2051.0	4696.0	1039.0	317.0	494.0	87696.9	1643021.0	1563538.009266
sub-season106	671.0	2449.0	687.0	1509.0	933.0	786.0	5544.0	1510.0	1909.0	1938.0	4910.0	1422.0	398.0	569.0	85970.5	1624831.0	1482952.883913
sub-season107	678.0	2448.0	718.0	1575.0	1049.0	827.0	6403.0	1230.0	1975.0	2389.0	5161.0	1132.0	464.0	596.0	88038.7	1762574.0	1540944.436115
sub-season108	553.0	2342.0	702.0	1469.0	882.0	774.0	5895.0	1478.0	1777.0	2554.0	5582.0	1343.0	342.0	485.0	84942.5	1608348.0	1453691.045969
sub-season109	723.0	2655.0	803.0	1738.0	989.0	959.0	7057.0	1794.0	2388.0	2640.0	6179.0	2226.0	349.0	446.0	102708.0	2116975.0	1949204.264928
sub-season110	592.0	2441.0	675.0	1514.0	978.0	837.0	6070.0	1352.0	1881.0	2777.0	5262.0	1112.0	381.0	523.0	89479.5	1728574.0	1545647.495434
sub-season111	737.0	3508.0	782.0	1765.0	1087.0	1010.0	6805.0	1464.0	1914.0	2920.0	5438.0	1314.0	550.0	711.0	95937.7	1887219.0	1820797.057342
sub-season112	841.0	3080.0	880.0	1920.0	1279.0	1170.0	7535.0	2506.0	2210.0	2746.0	6358.0	1445.0	401.0	559.0	105813.0	1986596.0	1855650.512396
sub-season114	547.0	2110.0	731.0	1485.0	943.0	894.0	6208.0	1159.0	1576.0	1780.0	4826.0	1121.0	342.0	444.0	79457.5	1589934.0	1453974.037606
