rh.BA_exvivo.volume	rh_BA1_exvivo_volume	rh_BA2_exvivo_volume	rh_BA3a_exvivo_volume	rh_BA3b_exvivo_volume	rh_BA4a_exvivo_volume	rh_BA4p_exvivo_volume	rh_BA6_exvivo_volume	rh_BA44_exvivo_volume	rh_BA45_exvivo_volume	rh_V1_exvivo_volume	rh_V2_exvivo_volume	rh_MT_exvivo_volume	rh_perirhinal_exvivo_volume	rh_entorhinal_exvivo_volume	BrainSegVolNotVent	eTIV
sub-season101	1981.0	5445.0	1079.0	3011.0	3022.0	2201.0	15760.0	7246.0	8487.0	4614.0	11799.0	2673.0	1668.0	1265.0	1592925.0	1412166.900513
sub-season102	1717.0	4377.0	967.0	2407.0	3840.0	2466.0	20927.0	8638.0	11280.0	6250.0	14591.0	3940.0	1791.0	1036.0	2019190.0	1836734.352672
sub-season103	1478.0	3859.0	1049.0	2390.0	3338.0	2182.0	20569.0	8464.0	8262.0	3744.0	9722.0	3379.0	1613.0	1065.0	1604558.0	1443544.19585
sub-season104	1883.0	4377.0	897.0	2330.0	2870.0	1986.0	19415.0	7200.0	8712.0	4765.0	14754.0	4012.0	1956.0	1679.0	1745081.0	1582548.662703
sub-season105	1620.0	4351.0	967.0	2362.0	3548.0	2071.0	17838.0	8426.0	7482.0	4965.0	12230.0	3186.0	1795.0	797.0	1643021.0	1563538.009266
sub-season106	1752.0	5421.0	920.0	2369.0	3308.0	1976.0	16944.0	6453.0	9263.0	4217.0	11447.0	3471.0	2132.0	1699.0	1624831.0	1482952.883913
sub-season107	1749.0	5034.0	967.0	2577.0	3013.0	2188.0	19665.0	7643.0	8902.0	4179.0	11708.0	3752.0	1882.0	1596.0	1762574.0	1540944.436115
sub-season108	1530.0	3810.0	1044.0	2482.0	2767.0	2291.0	17272.0	6669.0	7989.0	5534.0	10932.0	3951.0	1898.0	1275.0	1608348.0	1453691.045969
sub-season109	2549.0	5897.0	1239.0	3084.0	3937.0	2806.0	20041.0	10056.0	13267.0	5790.0	15921.0	5500.0	1878.0	922.0	2116975.0	1949204.264928
sub-season110	1849.0	4624.0	977.0	2543.0	3369.0	2240.0	19713.0	7831.0	8300.0	5603.0	12731.0	3979.0	2190.0	1398.0	1728574.0	1545647.495434
sub-season111	1807.0	5897.0	1125.0	2768.0	3754.0	2605.0	18940.0	7605.0	9441.0	5924.0	12096.0	3637.0	2058.0	1458.0	1887219.0	1820797.057342
sub-season112	2288.0	5385.0	1342.0	3097.0	3810.0	2953.0	19926.0	8650.0	9609.0	5849.0	13366.0	3489.0	2348.0	1077.0	1986596.0	1855650.512396
sub-season114	1714.0	4226.0	1016.0	2711.0	3220.0	2298.0	20607.0	6810.0	6992.0	3779.0	11344.0	3428.0	1703.0	874.0	1589934.0	1453974.037606
sub-season116	1918.0	5871.0	927.0	2531.0	3013.0	1889.0	18342.0	8935.0	10742.0	6665.0	13570.0	4529.0	2022.0	1015.0	1864222.0	1656987.75507
sub-season117	1918.0	5153.0	1072.0	3100.0	4396.0	2688.0	21973.0	6490.0	8842.0	5094.0	12592.0	3382.0	2655.0	2135.0	2004035.0	1887383.587011
sub-season119	1830.0	5300.0	1090.0	2574.0	3296.0	2268.0	18065.0	7329.0	7654.0	5710.0	12564.0	4780.0	2391.0	1004.0	1696676.0	1569429.750095
sub-season120	1884.0	5255.0	1049.0	2991.0	3953.0	2412.0	25624.0	7149.0	8927.0	4636.0	13363.0	3622.0	2069.0	1556.0	1847717.0	1664683.598266
sub-season121	2425.0	6437.0	1280.0	3356.0	4063.0	2842.0	22886.0	7924.0	7909.0	7162.0	19243.0	6547.0	2545.0	1776.0	2008369.0	1897894.403667
sub-season122	2278.0	5590.0	1190.0	3091.0	3608.0	2302.0	20360.0	9850.0	9754.0	5479.0	14024.0	3467.0	2419.0	1139.0	1880815.0	1805189.790401
sub-season123	1875.0	5165.0	955.0	2372.0	3162.0	1810.0	18643.0	9753.0	11981.0	6714.0	14823.0	4248.0	1746.0	781.0	2039640.0	1849012.463256
sub-season124	1987.0	4942.0	1044.0	3028.0	3396.0	2155.0	16793.0	6651.0	10267.0	5215.0	14490.0	5218.0	2561.0	1600.0	1783291.0	1690958.095541
sub-season125	2177.0	5054.0	946.0	3097.0	3483.0	2258.0	18623.0	7988.0	10385.0	5444.0	13450.0	4193.0	2047.0	767.0	1824819.0	1602272.803847
sub-season126	2138.0	5297.0	1067.0	3062.0	3356.0	2545.0	18911.0	7218.0	8090.0	5552.0	13961.0	2967.0	1787.0	1493.0	1753096.0	1661498.478944
sub-season127	2319.0	6180.0	1147.0	3163.0	3820.0	2245.0	19740.0	8222.0	9862.0	5769.0	15142.0	5149.0	2154.0	1214.0	1909443.0	1783880.913517
sub-season128	2208.0	6332.0	1195.0	2971.0	3369.0	2635.0	20633.0	6911.0	9258.0	5753.0	13330.0	4536.0	2195.0	1229.0	1696295.0	1630717.95911
sub-season129	1735.0	4810.0	980.0	2747.0	2897.0	1979.0	17850.0	8029.0	8445.0	4771.0	11574.0	4183.0	2141.0	1139.0	1647904.0	1503300.398544
sub-season130	1746.0	4185.0	1123.0	2896.0	3729.0	2807.0	17731.0	7497.0	10081.0	5193.0	14688.0	5032.0	1832.0	810.0	1757452.0	1536729.309148
sub-season131	1749.0	4838.0	1027.0	2676.0	3373.0	2320.0	17937.0	8200.0	10499.0	5911.0	13022.0	4008.0	2262.0	1646.0	1921984.0	1770893.529474
sub-season132	1561.0	4382.0	922.0	2368.0	2745.0	1901.0	15700.0	6579.0	8207.0	4905.0	12314.0	3543.0	2027.0	936.0	1452157.0	1439867.91904
sub-season133	1889.0	5144.0	1244.0	2851.0	3343.0	2659.0	18884.0	7067.0	9440.0	4871.0	11715.0	3164.0	2023.0	987.0	1700360.0	1525489.052102
sub-season134	2200.0	5492.0	1281.0	3129.0	3685.0	2448.0	20307.0	10900.0	11635.0	6295.0	13778.0	4728.0	3033.0	2005.0	1911721.0	1823397.722049
sub-season135	1878.0	4774.0	945.0	2276.0	2837.0	1922.0	17733.0	8639.0	9275.0	5758.0	11934.0	3371.0	2055.0	1064.0	1745319.0	1610476.458085
sub-season136	1172.0	3013.0	864.0	1996.0	2600.0	1631.0	14582.0	8648.0	10287.0	4054.0	11841.0	4709.0	2007.0	1264.0	1513888.0	1035253.679693
sub-season137	1612.0	4026.0	911.0	2283.0	3348.0	2025.0	20382.0	6721.0	8705.0	5788.0	14656.0	4520.0	1824.0	1243.0	1685920.0	1477723.11448
sub-season138	1795.0	4626.0	966.0	2380.0	3039.0	2256.0	18563.0	7770.0	9781.0	4404.0	12295.0	3707.0	2081.0	1091.0	1628419.0	1579182.412506
sub-season139	1779.0	4952.0	960.0	2491.0	3015.0	2051.0	18188.0	6367.0	10075.0	4713.0	11760.0	3041.0	2222.0	971.0	1786268.0	1746086.487966
sub-season202	2416.0	6598.0	1186.0	3313.0	4267.0	2700.0	23680.0	9993.0	9592.0	5714.0	12697.0	4419.0	3441.0	1320.0	2095322.0	1918579.22066
sub-season204	1713.0	4602.0	845.0	2397.0	3183.0	1748.0	17420.0	8401.0	10139.0	4926.0	13113.0	3580.0	1817.0	1078.0	1719575.0	1568138.208178
sub-season206	1416.0	4366.0	960.0	2080.0	3138.0	1944.0	18161.0	7203.0	8144.0	3694.0	10631.0	3329.0	1976.0	1678.0	1487934.0	1382261.885581
sub-season207	2150.0	6475.0	1015.0	3073.0	3546.0	2311.0	18098.0	7544.0	10283.0	4276.0	11748.0	4774.0	2025.0	901.0	1919834.0	1640301.685756
sub-season208	1666.0	4609.0	1042.0	2493.0	3072.0	2318.0	19196.0	7300.0	11157.0	5155.0	11791.0	3341.0	2001.0	1063.0	1633149.0	1505901.552608
sub-season211	1726.0	4104.0	904.0	2495.0	3482.0	2104.0	18058.0	6476.0	9160.0	5207.0	13797.0	3153.0	1806.0	1042.0	1540490.0	1299692.665252
sub-season212	1798.0	4596.0	890.0	2587.0	2853.0	2219.0	17312.0	6305.0	8212.0	4465.0	10435.0	3351.0	2048.0	887.0	1575179.0	1434554.310664
sub-season213	2265.0	5348.0	1014.0	3102.0	3253.0	2216.0	20158.0	10375.0	9955.0	8084.0	19146.0	4902.0	2375.0	915.0	2024520.0	1826968.556586
sub-season214	1754.0	5419.0	1007.0	2638.0	3718.0	2107.0	21440.0	7319.0	8655.0	4742.0	12767.0	3620.0	1869.0	875.0	1769868.0	1559496.726243
sub-season215	2281.0	5647.0	1040.0	3063.0	3304.0	1906.0	18927.0	7843.0	10733.0	5339.0	14955.0	4558.0	2381.0	1493.0	1993619.0	1891248.65278
sub-season216	1709.0	3832.0	1050.0	2451.0	3451.0	2370.0	17387.0	6282.0	7637.0	4806.0	10858.0	4137.0	1923.0	826.0	1682732.0	1571693.261147
sub-season217	1818.0	4893.0	990.0	2381.0	2945.0	2179.0	17136.0	6504.0	7720.0	5568.0	10814.0	3724.0	1887.0	936.0	1587034.0	1510038.192549
