lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	1013.0	2345.0	2143.0	334.0	2410.0	3334.0	3074.0	1081.0	5015.0	2775.0	3095.0	1486.0	3741.0	669.0	1169.0	1577.0	782.0	1731.0	1241.0	4809.0	1161.0	4421.0	4066.0	816.0	4754.0	8242.0	4154.0	4838.0	3853.0	399.0	1976.0	82503.7	1592925.0	1412166.900513
sub-season102	1148.0	2758.0	2394.0	427.0	3050.0	4819.0	3466.0	1079.0	5600.0	3085.0	3284.0	1781.0	4540.0	673.0	1853.0	1986.0	874.0	2299.0	1475.0	4739.0	1333.0	5157.0	4351.0	1017.0	4697.0	8552.0	4940.0	5929.0	4019.0	587.0	2081.0	93991.4	2019190.0	1836734.352672
sub-season103	985.0	2569.0	1323.0	377.0	2130.0	4122.0	2649.0	1028.0	4056.0	2317.0	2762.0	1238.0	3521.0	551.0	1399.0	1520.0	596.0	1539.0	873.0	4183.0	1179.0	4782.0	3063.0	935.0	3856.0	8024.0	4168.0	4728.0	3990.0	417.0	1736.0	76614.9	1604558.0	1443544.19585
sub-season104	834.0	1909.0	2205.0	412.0	2798.0	4231.0	3227.0	752.0	5429.0	2801.0	2868.0	1779.0	4119.0	647.0	1419.0	1449.0	679.0	1392.0	1132.0	4113.0	961.0	4266.0	3745.0	917.0	4055.0	8107.0	4747.0	5042.0	3289.0	522.0	1795.0	81641.8	1745081.0	1582548.662703
sub-season105	1033.0	1710.0	1789.0	356.0	2610.0	4372.0	3642.0	929.0	3969.0	2356.0	2859.0	1289.0	4032.0	660.0	1511.0	1329.0	662.0	1598.0	1180.0	4281.0	1039.0	4593.0	3891.0	912.0	4039.0	7877.0	5518.0	5427.0	4856.0	554.0	1861.0	82734.4	1643021.0	1563538.009266
sub-season106	1059.0	2652.0	1684.0	408.0	3020.0	4587.0	2995.0	826.0	4698.0	2883.0	2787.0	1432.0	4095.0	648.0	1649.0	1511.0	650.0	1491.0	1103.0	4602.0	1415.0	4243.0	3333.0	1000.0	4269.0	7276.0	4672.0	4861.0	3052.0	464.0	1696.0	81061.6	1624831.0	1482952.883913
sub-season107	1292.0	1998.0	1926.0	460.0	2406.0	4939.0	2953.0	1004.0	4418.0	2990.0	2936.0	1745.0	4096.0	668.0	1701.0	1344.0	740.0	1536.0	1461.0	4650.0	1491.0	4453.0	3334.0	1204.0	4254.0	8468.0	3503.0	5344.0	3295.0	411.0	2002.0	83022.5	1762574.0	1540944.436115
sub-season108	962.0	2729.0	1751.0	418.0	2141.0	4157.0	3242.0	880.0	4888.0	3056.0	3347.0	1730.0	4187.0	610.0	1631.0	1326.0	613.0	1466.0	1420.0	4271.0	1128.0	4391.0	3064.0	735.0	4051.0	8415.0	4004.0	4491.0	2730.0	541.0	1923.0	80299.9	1608348.0	1453691.045969
sub-season109	1348.0	3059.0	2133.0	326.0	3184.0	5638.0	4114.0	1191.0	6425.0	3067.0	3335.0	1539.0	5490.0	762.0	1393.0	1800.0	845.0	1886.0	1515.0	4959.0	1621.0	5458.0	3976.0	1191.0	4722.0	8423.0	4259.0	5747.0	4327.0	532.0	2130.0	96392.4	2116975.0	1949204.264928
sub-season110	1023.0	2665.0	1871.0	464.0	2440.0	4472.0	3199.0	1000.0	4521.0	2623.0	3275.0	1603.0	4148.0	647.0	1561.0	1422.0	609.0	1361.0	1581.0	4317.0	1198.0	4331.0	4619.0	1051.0	4482.0	7807.0	5247.0	5087.0	3603.0	479.0	1760.0	84468.3	1728574.0	1545647.495434
